Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",2000/6/5,1090872,1999
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",2015/3/23,6201,1934
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015/7/9,1158449,1932
AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982/11/30,320193,1977
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012/12/31,1551152,2013 (1888)
ABC,AmerisourceBergen,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001/8/30,1140859,1985
ABMD,Abiomed,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018/5/31,815094,1981
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",1964/3/31,1800,1888
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011/7/6,1467373,1989
ADBE,Adobe,Information Technology,Application Software,"San Jose, California",1997/5/5,796343,1982
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999/10/12,6281,1965
ADM,ADM,Consumer Staples,Agricultural Products,"Chicago, Illinois",1981/7/29,7084,1902
ADP,ADP,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",1981/3/31,8670,1949
ADSK,Autodesk,Information Technology,Application Software,"San Rafael, California",1989/12/1,769397,1982
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991/9/19,1002910,1902
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957/3/4,4904,1906
AES,AES,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998/10/2,874761,1981
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999/5/28,4977,1955
AIG,AIG,Financials,Property & Casualty Insurance,"New York City, New York",1980/3/31,5272,1919
AIZ,Assurant,Financials,Multi-line Insurance,"New York City, New York",2007/4/10,1267238,1892
AJG,Gallagher,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016/5/31,354190,1927
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007/7/12,1086222,1998
ALB,Albemarle,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016/7/1,915913,1994
ALGN,Align,Health Care,Health Care Supplies,"San Jose, California",2017/6/19,1097149,1997
ALK,Alaska Air Group,Industrials,Airlines,"Seattle, Washington",2016/5/13,766421,1985
ALL,Allstate,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995/7/13,899051,1931
ALLE,Allegion,Industrials,Building Products,"New York City, New York",2013/12/2,1579241,1908
AMAT,Applied Materials,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995/3/16,6951,1967
AMCR,Amcor,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019/6/7,1748790,2019 (1860)
AMD,AMD,Information Technology,Semiconductors,"Santa Clara, California",,2488,1969
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013/9/23,1037868,1930
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1992/1/2,318154,1980
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005/10/3,820027,1894
AMT,American Tower,Real Estate,Specialized REITs,"Boston, Massachusetts",2007/11/19,1053507,1995
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005/11/18,1018724,1994
ANET,Arista,Information Technology,Communications Equipment,"Santa Clara, California",2018/8/28,1596532,2004
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017/6/19,1013462,1969
